name;county;province;lat;lon
Auguścin;Pilski;Wielkopolskie;53.1968636;17.3286315
Liszkowo;Pilski;Wielkopolskie;53.22962;17.31797
Radzicz;Nakielski;Kujawsko-Pomorskie;53.195102;17.3867342
Fanianowo;Pilski;Wielkopolskie;53.231735;17.3553629
Kowalewko-Folwark;Nakielski;Kujawsko-Pomorskie;53.888725;17.4810217
Dębno;Pilski;Wielkopolskie;53.2358;17.38252
Ostrówiec;Nakielski;Kujawsko-Pomorskie;53.1010316;17.4410115
Łodzia;Nakielski;Kujawsko-Pomorskie;53.1287604;17.4754941
Anieliny;Nakielski;Kujawsko-Pomorskie;53.12928;17.48715
Śmielin;Nakielski;Kujawsko-Pomorskie;53.14705;17.48745
Sadki;Nakielski;Kujawsko-Pomorskie;53.15924;17.44917
Paulina;Nakielski;Kujawsko-Pomorskie;53.929197;17.4922626
Samostrzel;Nakielski;Kujawsko-Pomorskie;53.14198;17.44165
Bielawy;Nakielski;Kujawsko-Pomorskie;53.13349;17.55461
Rozwarzyn;Nakielski;Kujawsko-Pomorskie;53.1116042;17.5681287
Lubaszcz;Nakielski;Kujawsko-Pomorskie;53.1464198;17.526771
Józefkowo;Nakielski;Kujawsko-Pomorskie;53.983856;17.509946
Polichno;Nakielski;Kujawsko-Pomorskie;53.1048494;17.5366994
Olszewka;Nakielski;Kujawsko-Pomorskie;53.15507;17.545
